date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2008-02-19,0.921169,0.959622,1.050280,1.050280
2008-02-20,0.939361,0.959771,1.050443,1.050443
2008-02-21,0.936604,0.959920,1.050607,1.050607
2008-02-22,0.939912,0.960070,1.050770,1.050770
2008-02-25,0.948732,0.960219,1.050934,1.050934
2008-02-26,0.964168,0.960369,1.051098,1.051098
2008-02-27,0.972437,0.960518,1.051261,1.051261
2008-02-28,0.949835,0.960668,1.051425,1.051425
2008-02-29,0.922271,0.960817,1.051588,1.051588
2008-03-03,0.916759,0.960967,1.051752,1.051752
2008-03-04,0.921720,0.961116,1.051916,1.051916
2008-03-05,0.931092,0.961266,1.052080,1.052080
2008-03-06,0.904079,0.961415,1.052243,1.052243
2008-03-07,0.905182,0.961565,1.052407,1.052407
2008-03-10,0.890849,0.961715,1.052571,1.052571
2008-03-11,0.922271,0.961864,1.052735,1.052735
2008-03-12,0.915656,0.962014,1.052899,1.052899
2008-03-13,0.931643,0.962164,1.053062,1.053062
2008-03-14,0.905182,0.962314,1.053226,1.053226
2008-03-17,0.901323,0.962463,1.053390,1.053390
2008-03-18,0.937707,0.962613,1.053554,1.053554
2008-03-19,0.899118,0.962763,1.053718,1.053718
2008-03-20,0.916759,0.962913,1.053882,1.053882
2008-03-24,0.945976,0.963063,1.054046,1.054046
2008-03-25,0.948732,0.963213,1.054210,1.054210
2008-03-26,0.938258,0.963363,1.054374,1.054374
2008-03-27,0.914002,0.963513,1.054539,1.054539
2008-03-28,0.900772,0.963663,1.054703,1.054703
2008-03-31,0.910695,0.963813,1.054867,1.054867
2008-04-01,0.948732,0.963963,1.055031,1.055031
2008-04-02,0.955347,0.964113,1.055195,1.055195
2008-04-03,0.969129,0.964263,1.055360,1.055360
2008-04-04,0.970232,0.964413,1.055524,1.055524
2008-04-07,0.963065,0.964563,1.055688,1.055688
2008-04-08,0.942668,0.964713,1.055852,1.055852
2008-04-09,0.952040,0.964863,1.056017,1.056017
2008-04-10,0.974642,0.965013,1.056181,1.056181
2008-04-11,0.938809,0.965164,1.056346,1.056346
2008-04-14,0.921720,0.965314,1.056510,1.056510
2008-04-15,0.924476,0.965464,1.056674,1.056674
2008-04-16,0.961963,0.965614,1.056839,1.056839
2008-04-17,0.955347,0.965765,1.057003,1.057003
2008-04-18,0.975744,0.965915,1.057168,1.057168
2008-04-21,0.986218,0.966065,1.057332,1.057332
2008-04-22,0.960309,0.966216,1.057497,1.057497
2008-04-23,0.988423,0.966366,1.057662,1.057662
2008-04-24,1.006064,0.966516,1.057826,1.057826
2008-04-25,1.002205,0.966667,1.057991,1.057991
2008-04-28,0.995039,0.966817,1.058156,1.058156
2008-04-29,1.000000,0.966968,1.058320,1.058320
2008-04-30,0.981257,0.967118,1.058485,1.058485
2008-05-01,1.017641,0.967269,1.058650,1.058650
2008-05-02,1.018192,0.967419,1.058815,1.058815
2008-05-05,1.011025,0.967570,1.058979,1.058979
2008-05-06,1.028115,0.967721,1.059144,1.059144
2008-05-07,1.015436,0.967871,1.059309,1.059309
