date,close,bh_equity,flagship_equity,flagship_position,bh_drawdown,flagship_drawdown
2004-12-23,39.7600,0.778302,1.645562,1,-0.662708,-0.054853
2004-12-27,39.5900,0.774975,1.638526,1,-0.664150,-0.058894
2004-12-28,39.9700,0.782413,1.654253,1,-0.660926,-0.049861
2004-12-29,40.0200,0.783392,1.656323,1,-0.660502,-0.048672
2004-12-30,39.9900,0.782805,1.655081,1,-0.660757,-0.049385
2004-12-31,39.9100,0.781239,1.651770,1,-0.661435,-0.051287
2005-01-03,39.5000,0.773213,1.634801,1,-0.664913,-0.061033
2005-01-04,38.7800,0.759119,1.605002,1,-0.671021,-0.078149
2005-01-05,38.5400,0.754421,1.595069,1,-0.673057,-0.083854
2005-01-06,38.3500,0.750702,1.587206,1,-0.674669,-0.088370
2005-01-07,38.5500,0.754617,1.595483,1,-0.672973,-0.083616
2005-01-10,38.5300,0.754225,1.594655,1,-0.673142,-0.084091
2005-01-11,38.2600,0.748940,1.583481,1,-0.675433,-0.090510
2005-01-12,38.5800,0.755204,1.596725,1,-0.672718,-0.082903
2005-01-13,38.0700,0.745221,1.575617,1,-0.677044,-0.095026
2005-01-14,38.4300,0.752268,1.590517,1,-0.673990,-0.086468
2005-01-18,38.7200,0.757944,1.602519,1,-0.671530,-0.079575
2005-01-19,38.0800,0.745416,1.576031,1,-0.676960,-0.094788
2005-01-20,37.3500,0.731127,1.545818,1,-0.683152,-0.112141
2005-01-21,37.0500,0.725254,1.533402,1,-0.685697,-0.119273
2005-01-24,36.5300,0.715075,1.511881,1,-0.690109,-0.131634
2005-01-25,36.7100,0.718599,1.519330,1,-0.688582,-0.127355
2005-01-26,37.1500,0.727212,1.537541,1,-0.684849,-0.116896
2005-01-27,37.1000,0.726233,1.535471,1,-0.685273,-0.118084
2005-01-28,36.9200,0.722709,1.528022,1,-0.686800,-0.122363
2005-01-31,37.4000,0.732105,1.547888,1,-0.682728,-0.110953
2005-02-01,37.5200,0.734454,1.552854,1,-0.681710,-0.108100
2005-02-02,37.5800,0.735629,1.555337,1,-0.681201,-0.106674
2005-02-03,37.1500,0.727212,1.537541,1,-0.684849,-0.116896
2005-02-04,37.7500,0.738957,1.562373,1,-0.679759,-0.102633
2005-02-07,37.6700,0.737391,1.559062,1,-0.680438,-0.104535
2005-02-08,37.7400,0.738761,1.561959,1,-0.679844,-0.102871
2005-02-09,37.1100,0.726429,1.535885,1,-0.685188,-0.117847
2005-02-10,37.1500,0.727212,1.537541,1,-0.684849,-0.116896
2005-02-11,37.7000,0.737978,1.560304,1,-0.680183,-0.103822
2005-02-14,37.8700,0.741306,1.567340,1,-0.678741,-0.099780
