"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2026-04-01T04:00:00.000Z","581.48","587.74","580.42","584.31","79,435,132","-101.43","596.26","580.75","598.72","606.85","-9.11","-7.86","-1.25","585.87","20.65","34.56","34.18"
"2026-04-02T04:00:00.000Z","573.97","586.05","571.92","584.98","50,941,709","-113.43","595.64","584.65","598.20","606.21","-8.16","-7.92","-0.2416","583.86","18.83","36.82","34.05"
"2026-04-06T04:00:00.000Z","586.23","590.61","584.69","588.50","35,108,496","-63.60","594.96","586.74","597.98","605.61","-7.05","-7.75","0.6983","582.56","21.06","35.41","33.43"
"2026-04-07T04:00:00.000Z","585.64","588.98","578.40","588.59","49,948,195","-75.21","594.53","588.55","597.46","605.08","-6.09","-7.41","1.33","581.34","19.62","37.06","33.24"
"2026-04-08T04:00:00.000Z","608.71","609.90","602.12","606.09","63,085,996","56.21","594.48","597.34","597.25","604.74","-3.87","-6.71","2.84","582.82","29.79","32.26","31.15"
"2026-04-09T04:00:00.000Z","605.93","610.50","603.03","610.19","37,837,538","69.49","594.26","608.14","597.22","604.46","-1.76","-5.72","3.96","583.96","28.77","30.76","29.17"
"2026-04-10T04:00:00.000Z","611.84","613.67","609.58","611.07","34,038,533","92.50","594.32","610.63","597.17","604.20","-0.0176","-4.58","4.56","585.60","30.08","29.93","27.10"
"2026-04-13T04:00:00.000Z","609.48","626.74","608.11","617.39","32,972,110","126.26","594.66","614.23","597.59","604.17","1.85","-3.29","5.14","587.50","34.73","26.46","26.13"
"2026-04-14T04:00:00.000Z","620.22","628.60","620.10","628.60","49,921,082","167.93","595.34","623.00","598.25","604.28","4.19","-1.79","5.98","589.89","33.46","24.61","25.35"
"2026-04-15T04:00:00.000Z","629.08","637.83","628.20","637.40","50,102,386","203.13","596.53","633.00","599.16","604.55","6.68","-0.1005","6.78","593.47","37.25","23.12","25.21"
"2026-04-16T04:00:00.000Z","639.21","642.18","635.25","640.47","42,320,581","213.61","597.52","638.94","600.02","605.09","8.79","1.68","7.11","598.73","38.40","22.08","25.34"
"2026-04-17T04:00:00.000Z","645.59","650.00","644.07","648.85","53,488,871","234.70","598.86","644.66","601.16","605.63","11.02","3.55","7.47","604.74","41.12","20.70","25.89"
"2026-04-20T04:00:00.000Z","648.04","648.76","642.52","646.79","37,138,511","207.65","600.42","647.82","602.11","606.07","12.47","5.33","7.14","611.19","39.36","20.86","26.23"
"2026-04-21T04:00:00.000Z","648.41","650.20","642.21","644.33","39,580,523","187.18","601.64","645.56","603.18","606.43","13.27","6.92","6.35","616.33","38.19","19.72","26.64"
"2026-04-22T04:00:00.000Z","650.15","655.33","648.52","655.11","37,368,402","198.73","603.22","649.72","604.36","606.92","14.61","8.46","6.15","622.19","38.83","18.23","27.31"
"2026-04-23T04:00:00.000Z","653.55","656.92","645.52","651.42","40,099,827","177.79","604.68","653.27","605.23","607.26","15.20","9.81","5.39","627.37","35.82","18.86","27.58"
"2026-04-24T04:00:00.000Z","658.51","664.51","656.53","663.88","45,563,050","196.34","606.90","657.65","606.60","607.77","16.48","11.14","5.34","632.98","37.76","17.21","28.28"
"2026-04-27T04:00:00.000Z","663.40","664.43","660.69","664.23","32,717,030","180.84","609.25","664.06","608.02","608.35","17.32","12.38","4.94","637.19","36.77","16.76","28.93"
"2026-04-28T04:00:00.000Z","657.41","659.64","653.81","657.55","34,147,916","146.42","611.16","660.89","609.26","608.95","17.25","13.35","3.90","641.15","34.09","20.35","28.66"
"2026-04-29T04:00:00.000Z","658.63","661.72","656.59","661.57","31,724,860","141.24","613.10","659.56","610.76","609.54","17.32","14.14","3.17","644.74","34.33","19.59","28.57"
"2026-04-30T04:00:00.000Z","665.35","668.90","657.56","667.74","40,622,226","140.71","615.53","664.66","612.18","610.39","17.67","14.85","2.82","649.04","36.69","18.00","28.97"
"2026-05-01T04:00:00.000Z","669.16","675.97","668.80","674.15","39,172,607","147.49","618.23","670.95","613.81","611.53","18.25","15.53","2.72","652.81","39.63","16.92","29.77"
"2026-05-04T04:00:00.000Z","674.66","676.73","668.90","672.88","34,541,990","135.00","621.26","673.52","615.64","612.79","18.40","16.10","2.30","656.31","37.90","15.95","30.55"
"2026-05-05T04:00:00.000Z","677.96","682.77","677.51","681.61","37,101,063","140.71","624.38","677.25","617.49","613.99","19.00","16.68","2.32","659.29","39.59","14.78","31.63"
"2026-05-06T04:00:00.000Z","687.78","695.93","686.48","695.77","38,778,492","152.81","628.10","688.69","619.69","615.35","20.39","17.42","2.96","662.54","44.92","13.28","33.26"
"2026-05-07T04:00:00.000Z","696.58","701.24","691.77","694.94","43,779,087","146.51","631.67","695.36","621.87","616.74","21.17","18.17","3.00","666.27","45.68","12.38","34.98"
"2026-05-08T04:00:00.000Z","699.92","711.23","699.50","711.23","44,320,421","155.56","636.26","703.09","624.72","618.38","22.85","19.11","3.74","670.24","47.42","11.00","36.93"
"2026-05-11T04:00:00.000Z","710.36","714.59","708.91","713.29","36,019,146","152.63","641.28","712.26","627.71","620.25","24.07","20.10","3.96","674.87","47.89","10.56","38.86"
"2026-05-12T04:00:00.000Z","708.22","710.18","696.64","707.24","45,873,009","129.91","646.24","710.27","630.38","622.01","24.26","20.93","3.33","679.07","42.50","17.66","39.03"
"2026-05-13T04:00:00.000Z","709.96","716.65","704.83","714.71","40,012,526","133.57","650.83","710.98","633.16","623.90","24.73","21.69","3.04","683.03","43.47","16.26","39.50"
"2026-05-14T04:00:00.000Z","714.62","722.03","714.22","719.79","33,327,545","136.06","655.35","717.25","636.28","625.80","25.23","22.40","2.83","686.97","44.83","15.39","40.17"
"2026-05-15T04:00:00.000Z","710.14","715.13","705.55","708.93","51,792,656","115.49","659.48","714.36","639.18","627.56","24.46","22.81","1.65","691.03","40.58","19.71","39.77"
"2026-05-18T04:00:00.000Z","711.54","712.07","698.85","705.88","49,834,549","103.76","663.39","707.41","642.28","629.18","23.34","22.92","0.4204","695.10","37.06","22.39","38.69"
"2026-05-19T04:00:00.000Z","699.81","706.49","695.25","701.53","46,827,529","92.46","667.15","703.71","645.12","630.84","21.84","22.70","-0.8579","697.75","34.34","23.10","37.33"
"2026-05-20T04:00:00.000Z","705.29","713.15","703.79","713.15","36,779,222","102.69","670.72","707.34","648.35","632.60","21.35","22.43","-1.08","700.53","36.08","21.35","36.49"
"2026-05-21T04:00:00.000Z","708.99","717.12","706.77","714.51","36,415,360","102.55","674.20","713.83","651.51","634.23","20.83","22.11","-1.28","703.17","36.23","19.91","35.96"
"2026-05-22T04:00:00.000Z","718.07","722.12","715.95","717.54","33,118,575","107.43","677.75","716.03","655.11","636.03","20.43","21.78","-1.35","706.25","37.73","18.90","35.77"
"2026-05-26T04:00:00.000Z","725.96","731.17","724.16","730.28","34,254,692","119.39","681.51","723.91","659.30","638.08","20.90","21.60","-0.7028","709.19","40.29","17.21","36.08"
"2026-05-27T04:00:00.000Z","732.96","733.32","725.44","729.45","35,148,674","116.45","684.87","729.87","663.58","640.11","20.96","21.47","-0.5126","711.99","39.60","16.30","36.48"
"2026-05-28T04:00:00.000Z","729.73","736.60","726.41","735.60","32,839,952","116.84","688.15","732.53","667.54","642.34","21.26","21.43","-0.1698","714.28","39.10","15.19","37.02"
"2026-05-29T04:00:00.000Z","737.84","741.63","735.25","738.31","37,541,668","120.56","691.41","736.96","671.39","644.47","21.47","21.44","0.0315","716.39","40.85","14.52","37.77"
"2026-06-01T04:00:00.000Z","737.04","745.65","735.99","742.74","33,890,559","120.56","694.54","740.53","675.33","646.70","21.74","21.50","0.2433","718.61","40.90","13.55","38.66"
"2026-06-02T04:00:00.000Z","742.40","746.44","739.23","746.16","30,085,238","119.33","697.85","744.45","679.27","649.14","21.98","21.60","0.3856","721.11","39.37","12.86","39.53"
"2026-06-03T04:00:00.000Z","747.31","748.65","741.01","744.21","40,270,198","115.81","701.18","745.19","683.16","651.41","21.76","21.63","0.1332","723.62","38.79","12.15","40.44"
"2026-06-04T04:00:00.000Z","735.48","743.50","732.62","740.61","40,782,580","100.90","704.03","742.41","686.53","653.63","21.05","21.51","-0.4589","725.57","35.59","17.12","40.05"
"2026-06-05T04:00:00.000Z","730.06","731.69","704.32","705.06","99,606,572","50.57","705.82","722.84","688.90","655.25","17.43","20.70","-3.27","727.00","27.84","30.38","37.51"
"2026-06-08T04:00:00.000Z","717.81","723.03","713.07","716.07","47,401,451","55.20","707.56","710.57","691.52","657.23","15.26","19.61","-4.35","728.38","24.94","27.22","35.14"
"2026-06-09T04:00:00.000Z","722.98","725.66","686.37","707.83","91,932,171","30.15","709.01","711.95","693.79","659.13","12.73","18.23","-5.50","729.74","20.03","35.24","34.59"
"2026-06-10T04:00:00.000Z","701.66","711.28","692.93","693.69","65,334,283","10.78","710.22","700.76","695.41","660.69","9.48","16.48","-7.00","729.18","18.23","32.06","34.09"
"2026-06-11T04:00:00.000Z","699.29","718.37","695.00","717.12","71,798,857","33.53","712.07","705.41","697.41","662.58","8.69","14.93","-6.23","727.73","19.44","28.36","32.99"
"2026-06-12T04:00:00.000Z","717.61","724.01","711.28","721.34","51,236,021","52.79","713.85","719.23","699.43","664.69","8.32","13.60","-5.29","727.09","20.94","26.65","31.49"
"2026-06-15T04:00:00.000Z","738.10","744.76","737.38","744.00","46,710,216","110.35","716.18","732.67","701.81","667.21","9.73","12.83","-3.10","727.49","28.15","23.81","29.83"
"2026-06-16T04:00:00.000Z","742.25","744.22","729.64","729.86","45,348,675","88.24","718.08","736.93","703.88","669.67","9.60","12.18","-2.58","728.45","26.27","25.76","27.77"
"2026-06-17T04:00:00.000Z","735.19","735.68","720.85","722.51","51,669,322","63.33","719.44","726.19","705.84","671.91","8.80","11.51","-2.70","728.24","24.48","28.05","26.27"
"2026-06-18T04:00:00.000Z","737.20","741.82","732.51","740.62","50,154,595","97.06","720.94","731.57","707.98","674.52","9.52","11.11","-1.59","728.26","25.12","25.60","24.46"
"2026-06-22T04:00:00.000Z","742.02","745.45","734.39","737.95","43,518,596","97.93","722.37","739.29","710.14","677.02","9.77","10.84","-1.08","728.23","25.51","24.29","22.89"
"2026-06-23T04:00:00.000Z","715.74","723.61","712.11","713.65","53,354,151","19.63","722.45","725.80","711.38","679.36","7.91","10.25","-2.35","725.80","22.61","31.34","22.41"
"2026-06-24T04:00:00.000Z","715.37","719.93","704.45","710.62","52,480,437","-1.50","722.37","712.14","712.54","681.82","6.12","9.43","-3.31","724.25","21.07","32.58","22.35"
"2026-06-25T04:00:00.000Z","725.90","726.83","705.30","716.38","50,144,090","10.68","722.67","713.50","714.01","684.46","5.10","8.56","-3.46","723.93","22.09","29.55","21.78"
"2026-06-26T04:00:00.000Z","707.13","715.55","702.81","706.52","47,081,821","-28.28","722.40","711.45","715.14","686.61","3.47","7.54","-4.08","723.11","20.78","28.89","21.39"
"2026-06-29T04:00:00.000Z","713.99","724.58","705.17","724.08","44,939,091","8.82","722.54","715.30","716.55","688.94","3.55","6.74","-3.20","722.42","22.93","26.47","20.38"
"2026-06-30T04:00:00.000Z","724.18","737.62","723.91","736.40","42,121,829","74.68","723.46","730.24","718.10","691.47","4.55","6.31","-1.76","724.15","27.25","24.89","19.25"
"2026-07-01T04:00:00.000Z","729.19","731.92","724.60","725.17","40,803,791","43.45","724.10","730.79","719.41","693.74","4.39","5.92","-1.53","726.45","25.82","23.58","18.20"
"2026-07-02T04:00:00.000Z","725.58","730.83","707.56","712.60","51,086,080","-15.76","724.47","718.89","720.18","695.81","3.21","5.38","-2.17","727.06","23.23","28.56","17.63"
"2026-07-06T04:00:00.000Z","719.93","726.08","718.45","722.82","30,220,428","10.72","724.79","717.71","720.86","697.76","3.06","4.92","-1.85","725.67","21.86","26.88","17.11"
"2026-07-07T04:00:00.000Z","714.17","716.35","704.90","709.43","42,483,079","-63.25","724.62","716.13","721.22","699.41","1.85","4.30","-2.46","723.51","20.15","30.67","17.37"
"2026-07-08T04:00:00.000Z","704.95","712.26","700.91","711.44","35,603,179","-75.44","724.42","710.44","721.23","701.08","1.03","3.65","-2.62","721.18","19.14","30.90","17.80"
"2026-07-09T04:00:00.000Z","718.33","724.23","715.13","723.28","33,654,712","-1.82","724.18","717.36","721.48","702.85","1.33","3.18","-1.86","719.73","23.43","29.12","17.31"
"2026-07-10T04:00:00.000Z","720.70","726.39","717.00","725.51","26,415,898","8.20","724.05","724.40","721.93","704.46","1.72","2.89","-1.17","718.09","23.41","27.85","16.69"
