"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (50,C,ma,0)-2","MA ma (2,C,ma,0)","MA ma (200,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2025-11-24T05:00:00.000Z","595.28","606.68","595.16","605.16","60,168,149","-56.01","607.42","597.62","543.91","-3.67","-0.4758","-3.19","18.05","29.05","21.19"
"2025-11-25T05:00:00.000Z","603.51","610.26","597.32","608.89","57,560,867","-35.51","607.77","607.03","544.31","-3.00","-0.9815","-2.02","18.76","26.90","20.95"
"2025-11-26T05:00:00.000Z","612.51","616.19","610.39","614.27","42,393,598","20.12","608.26","611.58","544.74","-2.02","-1.19","-0.8330","21.44","25.75","20.11"
"2025-11-28T05:00:00.000Z","616.11","619.32","615.42","619.25","23,034,394","48.69","608.74","616.76","545.19","-0.8333","-1.12","0.2852","22.70","24.95","19.01"
"2025-12-01T05:00:00.000Z","613.63","619.44","612.52","617.17","40,957,588","34.96","609.09","618.21","545.60","-0.0578","-0.9063","0.8486","21.71","25.69","18.25"
"2025-12-02T05:00:00.000Z","619.46","623.75","617.59","622.00","54,541,834","64.75","609.49","619.59","546.02","0.9358","-0.5379","1.47","23.58","24.59","17.10"
"2025-12-03T05:00:00.000Z","619.62","624.22","618.03","623.52","47,841,627","66.57","610.00","622.76","546.44","1.82","-0.0654","1.89","22.92","23.56","15.97"
"2025-12-04T05:00:00.000Z","624.93","624.94","619.54","622.94","47,067,751","66.69","610.53","623.23","546.86","2.45","0.4386","2.02","22.56","22.68","14.85"
"2025-12-05T05:00:00.000Z","624.38","628.92","623.71","625.48","53,614,169","85.48","611.17","624.21","547.30","3.12","0.9753","2.15","24.45","21.70","14.22"
"2025-12-08T05:00:00.000Z","627.21","628.84","621.69","624.28","43,462,406","74.73","611.74","624.88","547.79","3.51","1.48","2.03","23.17","22.04","13.38"
"2025-12-09T05:00:00.000Z","623.01","625.87","621.00","625.05","37,155,999","65.15","612.27","624.67","548.32","3.84","1.95","1.89","22.31","21.75","12.51"
"2025-12-10T05:00:00.000Z","623.85","629.21","620.99","627.61","55,031,384","74.86","612.81","626.33","548.89","4.26","2.42","1.84","23.46","20.38","12.12"
"2025-12-11T05:00:00.000Z","623.82","625.78","617.72","625.58","58,272,844","52.46","613.26","626.60","549.44","4.38","2.81","1.57","21.69","21.34","11.31"
"2025-12-12T05:00:00.000Z","622.08","623.54","611.36","613.62","75,158,726","2.61","613.41","619.60","550.01","3.46","2.94","0.5251","19.42","23.79","11.23"
"2025-12-15T05:00:00.000Z","618.37","618.42","609.32","610.54","49,538,197","-24.77","613.56","612.08","550.52","2.46","2.84","-0.3799","18.11","23.70","11.38"
"2025-12-16T05:00:00.000Z","608.26","613.51","606.91","611.75","55,152,819","-40.03","613.64","611.15","551.09","1.75","2.63","-0.8760","17.21","24.34","11.79"
"2025-12-17T05:00:00.000Z","613.06","613.65","600.28","600.41","70,654,327","-81.53","613.56","606.08","551.62","0.2647","2.15","-1.89","15.52","26.82","12.86"
"2025-12-18T05:00:00.000Z","609.80","612.93","606.92","609.11","78,875,824","-47.25","613.51","604.76","552.15","-0.2076","1.68","-1.89","14.12","24.40","13.85"
"2025-12-19T05:00:00.000Z","611.95","617.62","611.87","617.05","60,369,829","-5.19","613.64","613.08","552.80","0.0581","1.36","-1.30","16.66","22.89","13.98"
"2025-12-22T05:00:00.000Z","621.35","621.65","617.77","619.21","43,703,101","24.65","614.24","618.13","553.44","0.4379","1.17","-0.7349","19.12","22.09","13.50"
"2025-12-23T05:00:00.000Z","618.20","622.41","617.78","622.11","41,120,445","35.54","614.64","620.66","554.18","0.9619","1.13","-0.1688","19.03","21.29","12.94"
